ID_USER;INSTALL_DATE;COUNTRY;ID_SESSION;SESSION_DATE;REVENUE;GAME_TIME;COMPLETED_LEVELS
36b29ebb42cf;06/09/2019;DE;b8d2b9ea31f9;06/09/2019;0;1507375;14
3f6273cffacb;06/09/2019;GB;16421fe529fd;06/09/2019;0;173352;0
3f6273cffacb;06/09/2019;GB;4f91b02ce4ce;06/09/2019;0;961532;2
3f6273cffacb;06/09/2019;GB;bb608c22b34f;06/09/2019;0;427253;2
3f6273cffacb;06/09/2019;GB;ad0b3e5680a1;06/09/2019;0;208747;0
3f6273cffacb;06/09/2019;GB;e535fe7774eb;06/09/2019;0;2526796;13
3f6273cffacb;06/09/2019;GB;5cd53317b338;07/09/2019;0;1167251;4
3f6273cffacb;06/09/2019;GB;40ae2e7a1128;07/09/2019;0;876164;2
3f6273cffacb;06/09/2019;GB;a1e012406656;09/09/2019;0;503751;1
3f6273cffacb;06/09/2019;GB;b801771f5349;10/09/2019;0;14286;0
3f6273cffacb;06/09/2019;GB;e331b5f38bbf;10/09/2019;0;269087;0
3f6273cffacb;06/09/2019;GB;eebae0c29580;12/09/2019;0;193870;0
3f6273cffacb;06/09/2019;GB;e2369e0ad4ce;13/09/2019;0;175664;0
698c3c7c654a;08/09/2019;FR;b48d6fb2e20d;08/09/2019;0;2102961;16
e6490c545ac5;08/09/2019;FR;b34104b2f999;08/09/2019;0;1721584;4
e6490c545ac5;08/09/2019;FR;f743a184bf8c;09/09/2019;0;867930;1
3212a4b2d307;07/09/2019;GB;99eb71a43d42;07/09/2019;0;860864;6
3212a4b2d307;07/09/2019;GB;1c97ba53afe1;07/09/2019;0;1181740;2
3212a4b2d307;07/09/2019;GB;917fb5b86a88;07/09/2019;0;452549;3
3212a4b2d307;07/09/2019;GB;eecb68494c89;07/09/2019;0;1789253;6
3212a4b2d307;07/09/2019;GB;b3c794838484;07/09/2019;0;203844;2
3212a4b2d307;07/09/2019;GB;1d8829120772;07/09/2019;0;580333;4
3212a4b2d307;07/09/2019;GB;945189fc0937;09/09/2019;0;168909;0
3212a4b2d307;07/09/2019;GB;dc93913b8a73;11/09/2019;0;18895;0
56c313addd13;06/09/2019;FR;c72f957b3164;06/09/2019;0;46248;0
5dbd9dfe4178;08/09/2019;GB;e9d71ccec3b2;08/09/2019;0;1729797;12
5dbd9dfe4178;08/09/2019;GB;d896e5565f36;08/09/2019;0;1499099;9
5dbd9dfe4178;08/09/2019;GB;7fa22229fad2;10/09/2019;0;801827;2
